configuration,ngram_size,min_block_frequency,max_block_frequency,fingerprint_width,average_ngrams_per_selected_bit,query_count,zero_bit_query_count
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p01,4,0.0,0.01,64,465.625,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p01,4,0.0,0.01,128,514.7578125,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p01,4,0.0,0.01,256,511.25324675324674,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p05,4,0.0,0.05,8,1.0,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p05,4,0.0,0.05,16,1.0,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p05,4,0.0,0.05,32,1.03125,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p05,4,0.0,0.05,64,9.234375,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p05,4,0.0,0.05,128,131.7421875,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p05,4,0.0,0.05,256,148.8181818181818,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p1,4,0.0,0.1,8,1.0,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p1,4,0.0,0.1,16,1.0,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p1,4,0.0,0.1,32,1.0,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p1,4,0.0,0.1,64,1.140625,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p1,4,0.0,0.1,128,132.0703125,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p1,4,0.0,0.1,256,112.47402597402598,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p25,4,0.0,0.25,8,1.0,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p25,4,0.0,0.25,16,1.0,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p25,4,0.0,0.25,32,1.03125,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p25,4,0.0,0.25,64,1.109375,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p25,4,0.0,0.25,128,121.921875,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p25,4,0.0,0.25,256,118.84415584415585,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p5,4,0.0,0.5,8,1.0,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p5,4,0.0,0.5,16,1.0,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p5,4,0.0,0.5,32,1.0,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p5,4,0.0,0.5,64,1.3125,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p5,4,0.0,0.5,128,127.578125,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p5,4,0.0,0.5,256,115.48701298701299,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_1,4,0.0,1,8,1.0,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_1,4,0.0,1,16,1.0,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_1,4,0.0,1,32,1.0,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_1,4,0.0,1,64,4.75,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_1,4,0.0,1,128,139.4375,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_1,4,0.0,1,256,130.64285714285714,190,190
local_split_entropy_hamming_clusters/ngram_2/hamming_cluster_count_154/min_block_frequency_0/max_block_frequency_1,2,0.0,1,8,15.0,190,190
local_split_entropy_hamming_clusters/ngram_2/hamming_cluster_count_154/min_block_frequency_0/max_block_frequency_1,2,0.0,1,16,17.3125,190,190
local_split_entropy_hamming_clusters/ngram_2/hamming_cluster_count_154/min_block_frequency_0/max_block_frequency_1,2,0.0,1,32,32.875,190,190
local_split_entropy_hamming_clusters/ngram_2/hamming_cluster_count_154/min_block_frequency_0/max_block_frequency_1,2,0.0,1,64,24.1875,190,190
local_split_entropy_hamming_clusters/ngram_2/hamming_cluster_count_154/min_block_frequency_0/max_block_frequency_1,2,0.0,1,128,23.491935483870968,190,2
local_split_entropy_hamming_clusters/ngram_3/hamming_cluster_count_154/min_block_frequency_0/max_block_frequency_1,3,0.0,1,8,182.5,190,190
local_split_entropy_hamming_clusters/ngram_3/hamming_cluster_count_154/min_block_frequency_0/max_block_frequency_1,3,0.0,1,16,216.375,190,190
local_split_entropy_hamming_clusters/ngram_3/hamming_cluster_count_154/min_block_frequency_0/max_block_frequency_1,3,0.0,1,32,529.28125,190,190
local_split_entropy_hamming_clusters/ngram_3/hamming_cluster_count_154/min_block_frequency_0/max_block_frequency_1,3,0.0,1,64,463.09375,190,63
local_split_entropy_hamming_clusters/ngram_3/hamming_cluster_count_154/min_block_frequency_0/max_block_frequency_1,3,0.0,1,128,289.234375,190,63
local_split_entropy_hamming_clusters/ngram_3/hamming_cluster_count_154/min_block_frequency_0/max_block_frequency_1,3,0.0,1,256,268.7902097902098,190,63
local_split_entropy_hamming_clusters/ngram_4/hamming_cluster_count_154/min_block_frequency_0/max_block_frequency_0p01,4,0.0,0.01,8,10915.375,190,190
local_split_entropy_hamming_clusters/ngram_4/hamming_cluster_count_154/min_block_frequency_0/max_block_frequency_0p01,4,0.0,0.01,16,6399.4375,190,190
local_split_entropy_hamming_clusters/ngram_4/hamming_cluster_count_154/min_block_frequency_0/max_block_frequency_0p01,4,0.0,0.01,32,4877.28125,190,190
local_split_entropy_hamming_clusters/ngram_4/hamming_cluster_count_154/min_block_frequency_0/max_block_frequency_0p01,4,0.0,0.01,64,3660.671875,190,141
local_split_entropy_hamming_clusters/ngram_4/hamming_cluster_count_154/min_block_frequency_0/max_block_frequency_0p01,4,0.0,0.01,128,2168.515625,190,141
local_split_entropy_hamming_clusters/ngram_4/hamming_cluster_count_154/min_block_frequency_0/max_block_frequency_0p01,4,0.0,0.01,256,1916.8859060402685,190,141
